Year_;Month_;Global_;Northern;Southern
1850;1;-0.67456436;-0.9006187;-0.44851005
1850;2;-0.333416;-0.15071486;-0.5161171
1850;3;-0.59132266;-0.50326127;-0.679384
1850;4;-0.58872116;-0.67327887;-0.50416344
1850;5;-0.5081851;-0.60724604;-0.40912414
1850;6;-0.34424013;-0.19347593;-0.4950043
1850;7;-0.15979019;-0.061502025;-0.25807837
1850;8;-0.2076543;0.015616962;-0.43092555
1850;9;-0.3847069;-0.31790617;-0.4515077
1850;10;-0.53312653;-0.7515545;-0.31469855
1850;11;-0.2825075;-0.5644277;-0.000587348
1850;12;-0.40367043;-0.5211238;-0.286217
1851;1;-0.20073938;-0.044900708;-0.35657808
1851;2;-0.46933234;-0.50167;-0.4369947
1851;3;-0.6460531;-1.0070971;-0.2850089
1851;4;-0.5421326;-0.6889065;-0.39535868
1851;5;-0.19762275;-0.111604765;-0.28364074
1851;6;-0.13670355;0.052468386;-0.3258755
1851;7;-0.0968156;-0.053910352;-0.13972086
1851;8;-0.10175375;-0.0062075043;-0.19729999
1851;9;-0.091244884;0.08826249;-0.27075225
1851;10;-0.00836263;0.05810798;-0.074833244
1851;11;-0.08189084;-0.20954458;0.045762915
1851;12;-0.22754622;-0.20598541;-0.24910702
1852;1;-0.37509567;-0.3527414;-0.39744994
1852;2;-0.47672674;-0.48287162;-0.47058183
1852;3;-0.5597683;-0.6762869;-0.44324976
1852;4;-0.5853704;-0.71890914;-0.45183176
1852;5;-0.12741269;-0.028678063;-0.22614732
1852;6;-0.083659135;-0.02144388;-0.14587438
1852;7;0.005029385;-0.011929803;0.021988573
1852;8;-0.13558698;-0.05565623;-0.21551771
1852;9;-0.0019016695;-0.02047585;0.01667251
1852;10;-0.172434;-0.06976813;-0.27509987
1852;11;-0.3052479;-0.57795095;-0.032544877
1852;12;0.065385304;0.18828736;-0.05751676
1853;1;-0.23259853;-0.04770193;-0.41749513
1853;2;-0.40372267;-0.42018542;-0.38725993
